Label,RRSL-FARIDABAD-NAVIC-DO-01 (ns)
"28/7/24, 8:28 AM",2.425
"28/7/24, 8:44 AM",5.433333333333334
"28/7/24, 9:00 AM",7.75
"28/7/24, 9:16 AM",8.55
"28/7/24, 9:32 AM",15.5
"28/7/24, 9:48 AM",7.2
"28/7/24, 10:04 AM",-3.033333333333333
"28/7/24, 10:20 AM",-4.933333333333334
"28/7/24, 10:36 AM",-9.933333333333334
"28/7/24, 10:52 AM",-11.5
"28/7/24, 11:08 AM",-11.5
"28/7/24, 11:24 AM",-9.833333333333334
"28/7/24, 11:40 AM",-3.9
"28/7/24, 11:56 AM",1.1333333333333333
"28/7/24, 12:12 PM",1.8333333333333333
"28/7/24, 12:28 PM",4.6
"28/7/24, 12:44 PM",4.4
"28/7/24, 1:00 PM",6.266666666666667
"28/7/24, 1:16 PM",7.1
"28/7/24, 1:32 PM",4.6
"28/7/24, 1:48 PM",1.5
"28/7/24, 2:04 PM",-0.9666666666666667
"28/7/24, 2:20 PM",-1.3666666666666667
"28/7/24, 2:36 PM",2.3333333333333335
"28/7/24, 2:52 PM",3.8666666666666667
"28/7/24, 3:08 PM",-4.3
"28/7/24, 3:24 PM",-6.733333333333333
"28/7/24, 3:40 PM",-5.833333333333333
"28/7/24, 3:56 PM",-3.966666666666667
"28/7/24, 4:12 PM",-4.325
"28/7/24, 4:28 PM",-1.975
"28/7/24, 4:44 PM",5.233333333333333
"28/7/24, 5:00 PM",-0.75
"28/7/24, 5:16 PM",8.233333333333333
"28/7/24, 5:32 PM",8.425
"28/7/24, 5:48 PM",3.566666666666667
"28/7/24, 6:04 PM",6.2
"28/7/24, 6:20 PM",0.43333333333333335
"28/7/24, 6:36 PM",-0.7
"28/7/24, 6:52 PM",-7.95
"28/7/24, 7:08 PM",-3.825
"28/7/24, 7:24 PM",-0.4
"28/7/24, 7:40 PM",4.075
"28/7/24, 7:56 PM",3.725
"28/7/24, 8:12 PM",-3.575
"28/7/24, 8:28 PM",-6.2
"28/7/24, 8:44 PM",-5.525
"28/7/24, 9:00 PM",-3.225
"28/7/24, 9:16 PM",-1.55
"28/7/24, 9:32 PM",2.05
"28/7/24, 9:48 PM",4.075
"28/7/24, 10:04 PM",-0.25
"28/7/24, 10:32 PM",0.025
"28/7/24, 10:48 PM",4.325
"28/7/24, 11:04 PM",4.875
"28/7/24, 11:20 PM",0.225
"28/7/24, 11:36 PM",-1.95
"28/7/24, 11:52 PM",-0.925
"29/7/24, 12:08 AM",1.175
"29/7/24, 12:24 AM",3.475
"29/7/24, 12:40 AM",3.425
"29/7/24, 12:56 AM",0.875
"29/7/24, 1:12 AM",-1.05
"29/7/24, 1:28 AM",-0.65
"29/7/24, 1:44 AM",3.5
"29/7/24, 2:00 AM",2.825
"29/7/24, 2:16 AM",-3.7
"29/7/24, 2:32 AM",-5.15
"29/7/24, 2:48 AM",-2.675
"29/7/24, 3:04 AM",2.575
"29/7/24, 3:20 AM",0.425
"29/7/24, 3:36 AM",0.4
"29/7/24, 3:52 AM",2.675
"29/7/24, 4:08 AM",-2.125
"29/7/24, 4:24 AM",0.1
"29/7/24, 4:40 AM",1.375
"29/7/24, 4:56 AM",3
"29/7/24, 5:12 AM",3.5
"29/7/24, 5:44 AM",-2.6666666666666665
"29/7/24, 6:00 AM",-0.43333333333333335
"29/7/24, 6:16 AM",-0.55
"29/7/24, 6:32 AM",-1.3
"29/7/24, 6:48 AM",2.033333333333333
"29/7/24, 7:04 AM",-5.6
"29/7/24, 7:20 AM",-2.725
"29/7/24, 7:36 AM",-5.675
"29/7/24, 7:52 AM",-8.966666666666667
"29/7/24, 8:08 AM",-5.8
"29/7/24, 8:24 AM",1.0333333333333334
"29/7/24, 8:40 AM",4.366666666666667
"29/7/24, 8:56 AM",8.066666666666666
"29/7/24, 9:12 AM",3.466666666666667
"29/7/24, 9:28 AM",10.5
"29/7/24, 9:44 AM",3.8333333333333335
"29/7/24, 10:00 AM",-1.3
